Land-area,Land type,Temperature,Rainfall,Phosphorus,Nitrogen,Rice,Water,Potassium,"Land, growth rate [%]","Percentage of total [%]","Total land per 100 people [ha /100 pers]","Agriculture land per 100 people [ha/100 pers]","Agriculture land per 100 agric people [ha/100 pers]",'Emma,F,20799'
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"587756.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cotton lint",,"60.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Cottonseed",,"90.00",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Molasses",,"202000.00",,,,,,,
,,,,,,"Beer of barley",,"145000.00",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Palm kernels",,"2679.00",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Beer of barley",,"300.00",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Beer of barley",,"128184.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Wine",,"1409.59",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Molasses",,"98000.00",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"320000.00",,,,,,,
,,,,,,"Beer of barley",,"305798.66",,,,,,,
,,,,,,"Cottonseed",,"42000.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Cotton lint",,"38000.00",,,,,,,
,,,,,,"Oil,,"281",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"257000.00",,,,,,,
,,,,,,"Beer of barley",,"19000.00",,,,,,,
,,,,,,"Molasses",,"120000.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Molasses",,"20124.09",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"79200.00",,,,,,,
,,,,,,"Beer of barley",,"424100.00",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Wine",,"4268899.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Molasses",,"866250.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"3837000.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Beer of barley",,"1439340.00",,,,,,,
,,,,,,"Oil,,"281",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Beer of barley",,"16565.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Beer of barley",,"110000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"21000.00",,,,,,,
,,,,,,"Molasses",,"6125.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Palm kernels",,"793.00",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Cottonseed",,"285.00",,,,,,,
,,,,,,"Cotton lint",,"168.00",,,,,,,
,,,,,,"Beer of barley",,"2574.00",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Palm kernels",,"2000.00",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Beer of barley",,"50000.00",,,,,,,
,,,,,,"Wine",,"90200.00",,,,,,,
,,,,,,"Molasses",,"0.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"0.00",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Wine",,"999100.00",,,,,,,
,,,,,,"Beer of barley",,"9357419.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"3638391.00",,,,,,,
,,,,,,"Molasses",,"800000.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Beer of barley",,"138500.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"0.00",,,,,,,
,,,,,,"Molasses",,"0.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Palm kernels",,"36000.00",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Cottonseed",,"7200.00",,,,,,,
,,,,,,"Cotton lint",,"8800.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Cotton lint",,"240000.00",,,,,,,
,,,,,,"Wine",,"400409.00",,,,,,,
,,,,,,"Beer of barley",,"460000.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"109000.00",,,,,,,
,,,,,,"Molasses",,"36000.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Cottonseed",,"502000.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cotton lint",,"14.00",,,,,,,
,,,,,,"Beer of barley",,"1300.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"0.00",,,,,,,
,,,,,,"Molasses",,"0.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Cottonseed",,"24.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Beer of barley",,"0.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"63452.00",,,,,,,
,,,,,,"Molasses",,"25000.00",,,,,,,
,,,,,,"Cottonseed",,"0.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cotton lint",,"0.00",,,,,,,
,,,,,,"Beer of barley",,"0.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Cotton lint",,"1052.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"2144551.00",,,,,,,
,,,,,,"Molasses",,"490841.00",,,,,,,
,,,,,,"Palm kernels",,"42000.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Beer of barley",,"164134.00",,,,,,,
,,,,,,"Cottonseed",,"1462.00",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Molasses",,"12750.00",,,,,,,
,,,,,,"Cotton lint",,"14000.00",,,,,,,
,,,,,,"Cottonseed",,"21500.00",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Palm kernels",,"53000.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"20000.00",,,,,,,
,,,,,,"Beer of barley",,"16724.50",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Beer of barley",,"1813.50",,,,,,,
,,,,,,"Cotton lint",,"1850.00",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Cottonseed",,"3000.00",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Palm kernels",,"8000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"226300.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Molasses",,"121000.00",,,,,,,
,,,,,,"Beer of barley",,"8400.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"10000.00",,,,,,,
,,,,,,"Cottonseed",,"720.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cotton lint",,"396.00",,,,,,,
,,,,,,"Molasses",,"7000.00",,,,,,,
,,,,,,"Molasses",,"140000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"372225.00",,,,,,,
,,,,,,"Beer of barley",,"100881.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Cotton lint",,"650.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cottonseed",,"1652.00",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Palm kernels",,"75000.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Beer of barley",,"705034.00",,,,,,,
,,,,,,"Molasses",,"15000.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"76000.00",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Wine",,"344876.00",,,,,,,
,,,,,,"Beer of barley",,"17500.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Beer of barley",,"407665.00",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Cotton lint",,"3787000.00",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cottonseed",,"7692000.00",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,,"281",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Molasses",,"11313000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"28630000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"2053000.00",,,,,,,
,,,,,,"Molasses",,"1437000.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Cotton lint",,"1284.71",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cottonseed",,"2569.43",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Palm kernels",,"4700000.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Beer of barley",,"210000.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Cotton lint",,"92000.00",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Molasses",,"259000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"607000.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Cottonseed",,"177000.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Beer of barley",,"0.00",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Beer of barley",,"0.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"372.00",,,,,,,
,,,,,,"Molasses",,"148.80",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Cottonseed",,"7500.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cotton lint",,"4000.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Molasses",,"0.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Beer of barley",,"884600.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"0.00",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Cotton lint",,"8900.00",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Wine",,"4800.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cottonseed",,"14000.00",,,,,,,
,,,,,,"Oil,,"281",,,,,,,
,,,,,,"Beer of barley",,"90000.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"0.00",,,,,,,
,,,,,,"Molasses",,"0.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Wine",,"4609554.00",,,,,,,
,,,,,,"Cotton lint",,"0.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Beer of barley",,"1321000.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"542000.00",,,,,,,
,,,,,,"Molasses",,"151000.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"281",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Cottonseed",,"0.00",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Beer of barley",,"85987.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Molasses",,"62654.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"140405.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Molasses",,"93000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"944000.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Beer of barley",,"3213000.00",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"281",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Wine",,"66000.00",,,,,,,
,,,,,,"Beer of barley",,"12128.00",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Wine",,"1365.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Beer of barley",,"361163.00",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cottonseed",,"175000.00",,,,,,,
,,,,,,"Oil,,"281",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Molasses",,"4416.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"12000.00",,,,,,,
,,,,,,"Wine",,"13285.00",,,,,,,
,,,,,,"Cotton lint",,"113348.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Cottonseed",,"9800.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Cotton lint",,"5000.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Beer of barley",,"424862.69",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"511900.00",,,,,,,
,,,,,,"Molasses",,"132000.00",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Cotton lint",,"31400.00",,,,,,,
,,,,,,"Cottonseed",,"62800.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Wine",,"1270.00",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Beer of barley",,"15407.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"11803.00",,,,,,,
,,,,,,"Molasses",,"4387.86",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Beer of barley",,"27024.00",,,,,,,
,,,,,,"Cotton lint",,"2235.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cottonseed",,"4500.00",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"0.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Wine",,"2500.00",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Molasses",,"0.00",,,,,,,
,,,,,,"Beer of barley",,"133383.00",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Beer of barley",,"29125.72",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"5000.00",,,,,,,
,,,,,,"Molasses",,"1390.50",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Wine",,"14954.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Beer of barley",,"25008.00",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Beer of barley",,"12000.00",,,,,,,
,,,,,,"Palm kernels",,"11000.00",,,,,,,
,,,,,,"Molasses",,"2150.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"4300.00",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Beer of barley",,"260.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Wine",,"0.00",,,,,,,
,,,,,,"Wine",,"66.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"76200.00",,,,,,,
,,,,,,"Beer of barley",,"296849.00",,,,,,,
,,,,,,"Molasses",,"13000.00",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Wine",,"8343.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Wine",,"12967.00",,,,,,,
,,,,,,"Beer of barley",,"31200.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Molasses",,"6000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"16000.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Wine",,"7499.00",,,,,,,
,,,,,,"Cotton lint",,"4500.00",,,,,,,
,,,,,,"Cottonseed",,"9000.00",,,,,,,
,,,,,,"Beer of barley",,"83400.00",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Palm kernels",,"1368.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Molasses",,"104500.00",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Cottonseed",,"48000.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cotton lint",,"20500.00",,,,,,,
,,,,,,"Beer of barley",,"25857.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"310000.00",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Beer of barley",,"165000.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Palm kernels",,"4577000.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Molasses",,"35000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"22000.00",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Cotton lint",,"67500.00",,,,,,,
,,,,,,"Cottonseed",,"124000.00",,,,,,,
,,,,,,"Molasses",,"13600.00",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Beer of barley",,"9000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"35000.00",,,,,,,
,,,,,,"Wine",,"2450.00",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Beer of barley",,"12908.00",,,,,,,
,,,,,,"Molasses",,"4000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"4688.00",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Beer of barley",,"34500.00",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"452062.00",,,,,,,
,,,,,,"Molasses",,"145113.00",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Cottonseed",,"201711.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Oil,,"257",,,,,,,
,,,,,,"Palm kernels",,"18000.00",,,,,,,
,,,,,,"Beer of barley",,"8234300.00",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"281",,,,,,,
,,,,,,"Wine",,"55668.33",,,,,,,
,,,,,,"Cotton lint",,"125000.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"5939800.00",,,,,,,
,,,,,,"Molasses",,"1904000.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Beer of barley",,"19900.00",,,,,,,
,,,,,,"Beer of barley",,"5565.21",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Wine",,"16980.00",,,,,,,
,,,,,,"Cotton lint",,"6.00",,,,,,,
,,,,,,"Cottonseed",,"12.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cottonseed",,"144.00",,,,,,,
,,,,,,"Beer of barley",,"86171.50",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"510000.00",,,,,,,
,,,,,,"Molasses",,"190452.15",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"258",,,,,,,
,,,,,,"Oil,, virgin",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"271",,,,,,,
,,,,,,"Oil,,"281",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"334",,,,,,,
,,,,,,"Wine",,"35000.00",,,,,,,
,,,,,,"Cotton lint",,"72.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Cotton lint",,"62000.00",,,,,,,
,,,,,,"Margarine,,"1242",,,,,,,
,,,,,,"Beer of barley",,"100000.00",,,,,,,
,,,,,,"Oil,,"60",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"250191.00",,,,,,,
,,,,,,"Molasses",,"83646.18",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Cottonseed",,"125000.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Oil,,"252",,,,,,,
,,,,,,"Molasses",,"13249.00",,,,,,,
,,,,,,"Oil,,"237",,,,,,,
,,,,,,"Oil,,"244",,,,,,,
,,,,,,"Cotton lint",,"66000.00",,,,,,,
,,,,,,"Sugar Raw Centrifugal",,"28413.00",,,,,,,
,,,,,,"Oil,,"331",,,,,,,
,,,,,,"Cottonseed",,"130000.00",,,,,,,
,,,,,,"Oil,,"290",,,,,,,
,,,,,,"Oil,,"268",,,,,,,
,,,,,,"Beer of barley",,"156000.00",,,,,,,
